Ref,Val,Package,PosX,PosY,Rot,Side
"D225","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",71.551576,-102.900166,-109.098593,top
"D226","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.046964,-99.955413,-90.000000,top
"D227","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.046964,-96.955413,-90.000000,top
"D228","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",70.046964,-93.955413,-90.000000,top
"D229","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.046964,-93.955413,-90.000000,top
"D230","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.046964,-90.955413,-90.000000,top
"D231","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.542351,-88.010661,-109.098593,top
"D232","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",73.973979,-85.390085,-128.197186,top
"D233","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",75.405606,-82.769509,-109.098593,top
"D234","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",75.900993,-79.824757,-90.000000,top
"F1","Polyfuse, 2A","Fuse_1206_3216Metric",100.200001,-231.000000,180.000000,top
"L1","2.7nH","L_0402",57.699999,-214.430000,180.000000,top
"L5","15nH,300mA","L_0402",60.170710,-211.896548,-45.000000,top
"Q1","HL3415A","Q_SOT-23",99.740002,-226.350000,0.000000,top
"Q2","MMBT3904","Q_SOT-23",95.760000,-226.350000,0.000000,top
"R1","10kΩ","R_0402",69.946447,-214.053553,45.000000,top
"R2","10kΩ","R_0402",71.196447,-215.303553,45.000000,top
"R3","10kΩ","R_0402",65.853553,-224.853553,135.000000,top
"R4","5.1kΩ","R_0402",66.553553,-224.153553,135.000000,top
"R5","10kΩ","R_0402",67.953553,-222.753553,135.000000,top
"R7","510Ω","R_0402",61.653553,-206.053553,-45.000000,top
"R8","10kΩ","R_0402",64.297999,-233.000000,-90.000000,top
"R9","100kΩ","R_0402",88.439999,-235.000001,-90.000000,top
"R12","10kΩ","R_0402",88.439999,-233.000000,90.000000,top
"R13","5.1kΩ","R_0402",133.099999,-230.550000,90.000000,top
"R14","5.1kΩ","R_0402",133.099999,-221.450000,-90.000000,top
"R15","510Ω","R_0402",73.530419,-222.623922,135.000000,top
"R16","100kΩ","R_0402",92.800001,-224.850000,0.000000,top
"R17","10kΩ","R_0402",92.800000,-227.850000,0.000000,top
"R18","510Ω","R_0402",92.800001,-226.850000,0.000000,top
"R21","10kΩ","R_0402",76.657152,-233.000000,-90.000000,top
"R22","100kΩ","R_0402",64.297999,-234.999999,-90.000000,top
"R23","100kΩ","R_0402",76.657152,-235.000000,-90.000000,top
"R25","100kΩ","R_0402",74.909277,-223.295674,45.000000,top
"S1","Tactile Button, 160gf","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",67.000000,-54.000000,0.000000,top
"S2","Tactile Button, 160gf","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",67.000000,-65.233332,0.000000,top
"S3","Tactile Button, 160gf","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",67.000000,-70.849998,0.000000,top
"S4","Tactile Button, 160gf","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",67.000000,-59.616666,0.000000,top
"U1","RT9080-33GJ5","TSOT-23-5",61.537499,-224.500000,90.000000,top
"U2","ESP32-C3FH4","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias",63.469848,-213.935025,45.000000,top
"U3","LTR-303ALS-01","Lite-On_LTR-303ALS-01",70.036396,-226.286396,135.000000,top
"U4","Connector, USB-TYPE-C-16P","TYPE-C-SMD_HX-TYPE-C-16PIN",137.000000,-226.000000,90.000000,top
"U5","SN74LV1T34DBV","SOT-23-5",72.054334,-219.804334,-45.000000,top
"X1","40MHz, 15pF","OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI",59.195944,-209.166147,45.000000,top
